,Clean_text,Views_per_day
331,"['china', 'warning', 'taiwan', 'war']",78167.0
332,"['hitler', 'comment', 'apology', 'president', 'putin', 'step']",30900.0
333,"['soldier', 'taiwan']",3846.0
334,"['report', 'china', 'russia', 'attack', 'ukraine', 'till', 'olympics']",10233.0
335,"['pakistan', 'drama']",30533.0
336,"['conflict', 'russia', 'video', 'airstrikes', 'combat', 'vehicle']",15200.0
337,"['dictator', 'kim', 'jong', 'sos', 'signal']",2752.0
338,"['south', 'africa', 'community', 'attack']",2748.0
339,"['ukraine', 'invasion', 'day', 'west', 'russia', 'war']",10067.0
340,['pakistan'],6020.0
341,"['cache', 'weapon', 'arabian', 'sea']",2500.0
342,"['mass', 'exodus', 'chinese', 'institute', 'scientist']",2497.0
343,"['china', 'claim', 'mountain', 'peak']",1246.0
344,"['taliban', 'capture', 'woman', 'governor', 'afghanistan', 'salima', 'mazari', 'updates']",2983.0
345,"['bbc', 'deceit', 'diana', 'interview']",2492.0
346,"['poland', 'offer', 'mig', 'fighter', 'jet', 'ukraine']",9944.0
347,"['wuhan', 'virus', 'case', 'death', 'surge']",4257.0
348,"['china', 'sanction', 'talk', 'rome']",9933.0
349,"['george', 'floyd', 'trial', 'new', 'footage', 'floyd', 'arrest', 'day', 'highlight']",2481.0
350,"['ground', 'report', 'city', 'afghanistan', 'fear', 'taliban', 'takeover', 'herat']",2957.0
351,"['wuhan', 'coronavirus', 'china', 'propaganda']",1224.0
352,"['zelensky', 'message', 'russia', 'troop', 'kyiv']",9744.0
353,"['india', 'cds', 'general', 'bipin', 'rawat', 'chopper', 'crash', 'tamil', 'nadu', 'coonoor', 'iaf', 'helicopter', 'crash']",4872.0
354,"['uschina', 'faceoff', 'taiwan', 'strait', 'missile', 'destroyer', 'taiwan', 'strait']",29200.0
355,"['crisis', 'brewing', 'china']",3241.0
356,"['troop', 'airbase', 'ukraine', 'explosions', 'heard', 'city']",9722.0
357,"['force', 'nato', 'biden', 'plan', 'putin']",9711.0
358,"['clashes', 'aqsa']",2422.0
359,"['russia', 'weapon', 'tsunamis']",2436.0
